Time (s), Sensor Value (ADC)
33.82, 0
33.89, 0
34.02, 0
34.11, 0
34.21, 0
34.31, 0
34.39, 0
34.49, 0
34.59, 0
34.71, 0
34.82, 0
34.90, 0
35.00, 0
35.09, 0
35.22, 4095
35.29, 4095
35.42, 4095
35.50, 4095
35.60, 4095
35.72, 4095
35.79, 4095
35.92, 4095
36.00, 4095
36.10, 4095
36.20, 0
36.29, 0
36.40, 0
36.50, 0
36.60, 0
36.70, 0
36.80, 0
36.90, 0
37.02, 0
37.11, 0
37.20, 0
37.30, 0
37.40, 0
37.50, 0
37.60, 0
37.72, 0
37.80, 0
37.90, 0
38.00, 0
38.10, 0
38.20, 0
38.30, 0
38.40, 0
38.69, 0
