Sensor Name: ttx_102box
Initial Resistance: 90 ohms
Start Time: 2024-11-04 23:34:14
Time (s), Voltage (V)
84.48, 0.3715
84.58, 0.4008
84.68, 0.4350
84.78, 0.4643
84.88, 0.4936
84.99, 0.5181
85.09, 0.5425
85.18, 0.5670
85.29, 0.5865
85.39, 0.6109
85.49, 0.6305
85.59, 0.6500
85.70, 0.6696
85.79, 0.6891
85.90, 0.7038
85.99, 0.7234
86.10, 0.7331
86.20, 0.7429
86.30, 0.7527
86.41, 0.7674
86.50, 0.7820
86.60, 0.7918
86.70, 0.8016
86.81, 0.8113
86.91, 0.8260
87.01, 0.8309
87.11, 0.8456
87.21, 0.8504
87.32, 0.8602
87.42, 0.8651
87.51, 0.8700
87.62, 0.8798
87.72, 0.8993
87.82, 0.9042
87.92, 0.9091
88.02, 0.9189
88.12, 0.9189
88.22, 0.9189
88.33, 0.9238
88.43, 0.9286
88.53, 0.9335
88.63, 0.9384
88.73, 0.9433
88.84, 0.9482
88.94, 0.9433
89.04, 0.9531
89.14, 0.9580
89.24, 0.9580
89.34, 0.9580
89.44, 0.9629
89.54, 0.9629
89.64, 0.9726
89.75, 0.9677
89.85, 0.9677
89.95, 0.9726
90.05, 0.9726
90.15, 0.9726
90.25, 0.9775
90.35, 0.9873
90.46, 0.9824
90.55, 0.9873
90.66, 0.9873
90.76, 0.9873
90.86, 0.9922
90.96, 0.9922
91.06, 0.9922
91.16, 1.0068
91.27, 1.0117
91.37, 1.0117
91.47, 1.0117
91.57, 1.0117
91.67, 1.0068
91.78, 1.0068
91.87, 1.0068
91.98, 1.0068
92.08, 1.0068
92.18, 1.0068
92.28, 1.0068
92.38, 1.0068
92.48, 1.0117
92.58, 1.0117
92.68, 1.0117
92.79, 1.0117
92.89, 1.0117
92.99, 1.0117
93.09, 1.0117
93.19, 1.0068
93.30, 1.0117
93.40, 1.0117
93.50, 1.0117
93.60, 1.0117
93.70, 1.0117
93.80, 1.0117
93.90, 1.0166
94.01, 1.0166
94.10, 1.0166
94.20, 1.0166
94.31, 1.0166
94.41, 1.0166
94.51, 1.0215
94.61, 1.0166
94.71, 1.0362
94.81, 1.0362
94.92, 1.0313
95.01, 1.0362
95.12, 1.0362
95.22, 1.0264
95.32, 1.0264
95.42, 1.0264
95.52, 1.0264
95.62, 1.0215
95.72, 1.0215
95.83, 1.0215
95.93, 1.0264
96.03, 1.0362
96.13, 1.0411
96.23, 1.0508
96.34, 1.0557
96.43, 1.0704
96.54, 1.0802
96.64, 1.0899
96.74, 1.0948
96.84, 1.1046
96.94, 1.1144
97.04, 1.1290
97.14, 1.1339
97.25, 1.1388
97.35, 1.1486
97.45, 1.1535
97.55, 1.1632
97.65, 1.1681
97.75, 1.1730
97.86, 1.1779
97.95, 1.1877
98.06, 1.1877
98.16, 1.1975
98.26, 1.2170
98.36, 1.2219
98.46, 1.2219
98.57, 1.2268
98.67, 1.2170
98.77, 1.2268
98.87, 1.2268
98.97, 1.2268
99.07, 1.2317
99.17, 1.2317
99.28, 1.2317
99.37, 1.2366
99.48, 1.2414
99.57, 1.2414
99.68, 1.2414
99.78, 1.2414
99.89, 1.2463
99.99, 1.2463
100.08, 1.2463
100.18, 1.2414
100.28, 1.2414
100.39, 1.2512
100.49, 1.2463
100.59, 1.2463
100.69, 1.2463
100.79, 1.2463
100.89, 1.2512
101.00, 1.2512
101.10, 1.2512
101.20, 1.2561
101.30, 1.2561
101.40, 1.2561
101.50, 1.2610
101.61, 1.2561
101.71, 1.2757
101.80, 1.2708
101.91, 1.2805
102.01, 1.2757
102.11, 1.2708
102.21, 1.2610
102.31, 1.2610
102.42, 1.2659
102.52, 1.2659
102.62, 1.2659
102.72, 1.2659
102.82, 1.2659
102.92, 1.2659
103.02, 1.2610
103.12, 1.2659
103.22, 1.2659
103.33, 1.2659
103.43, 1.2659
103.53, 1.2659
103.63, 1.2659
103.73, 1.2561
103.83, 1.2561
103.93, 1.2610
104.04, 1.2561
104.13, 1.2561
104.24, 1.2610
104.34, 1.2561
104.44, 1.2561
104.54, 1.2610
104.64, 1.2610
104.75, 1.2561
104.85, 1.2610
104.95, 1.2561
105.05, 1.2610
105.15, 1.2610
105.25, 1.2757
105.36, 1.2757
105.46, 1.2757
105.55, 1.2757
105.66, 1.2757
105.76, 1.2708
105.86, 1.2610
105.96, 1.2659
106.06, 1.2659
106.16, 1.2659
106.26, 1.2610
106.37, 1.2610
106.47, 1.2610
106.57, 1.2659
106.67, 1.2610
106.77, 1.2610
106.87, 1.2610
106.98, 1.2610
