Sensor Name: test_1uf
Initial Resistance: 80 ohms
Time (s), Voltage (V)
57.67, 3.11
57.78, 3.10
57.90, 3.10
58.02, 3.11
58.13, 3.11
58.25, 3.10
58.37, 3.11
58.48, 3.10
58.60, 3.11
58.72, 3.10
58.83, 3.11
58.95, 3.10
59.06, 3.11
59.18, 3.10
59.30, 3.10
59.41, 3.10
59.53, 3.10
59.65, 3.10
59.76, 3.10
59.88, 3.10
60.00, 3.11
60.11, 3.10
60.23, 3.11
60.35, 3.10
60.46, 3.10
60.58, 3.11
60.70, 3.11
60.81, 3.10
60.93, 3.11
61.05, 3.11
61.16, 3.09
61.28, 3.11
61.40, 3.10
61.51, 3.09
61.63, 3.11
61.75, 3.10
61.86, 3.10
61.98, 3.11
62.09, 3.09
62.21, 3.11
62.33, 3.10
62.45, 3.10
62.56, 3.09
62.68, 3.10
62.80, 3.09
62.91, 3.10
63.03, 3.10
63.14, 3.09
63.26, 3.10
63.38, 3.10
63.49, 3.10
63.61, 3.10
63.73, 3.10
63.84, 3.11
63.96, 3.10
64.08, 3.10
64.19, 3.11
64.31, 3.10
64.43, 3.10
64.54, 3.11
64.66, 3.10
64.78, 3.10
64.89, 3.11
65.01, 3.09
65.13, 3.09
65.24, 3.11
65.36, 3.10
65.47, 3.10
65.59, 3.10
65.71, 3.09
65.82, 3.10
65.94, 3.09
66.06, 3.10
66.18, 3.09
66.29, 3.09
66.41, 3.09
66.52, 3.09
66.64, 3.09
66.76, 3.10
66.87, 3.09
66.99, 3.09
67.11, 3.10
67.22, 3.09
67.34, 3.10
67.46, 3.10
67.57, 3.09
67.69, 3.10
67.81, 3.09
67.92, 3.10
68.04, 3.10
68.16, 3.09
68.27, 3.10
68.39, 3.10
68.51, 3.09
68.62, 3.09
68.74, 3.09
68.86, 3.09
68.97, 3.09
69.09, 3.09
69.20, 3.08
69.32, 3.09
69.44, 3.08
69.56, 3.09
69.67, 3.08
69.79, 3.09
69.90, 3.07
70.02, 3.08
70.14, 3.08
70.25, 3.08
70.37, 3.08
70.49, 3.08
70.60, 3.08
70.72, 3.08
70.84, 3.08
70.95, 3.08
71.07, 3.08
71.19, 3.07
71.30, 3.08
71.42, 3.08
71.54, 3.08
71.65, 3.09
71.77, 3.07
71.89, 3.07
72.00, 3.08
72.13, 3.08
72.25, 3.07
72.37, 3.07
72.49, 3.08
72.60, 3.06
72.72, 3.08
72.83, 3.06
72.95, 3.07
73.07, 3.06
73.18, 3.07
73.30, 3.06
73.42, 3.07
73.53, 3.06
73.65, 3.06
73.77, 3.06
73.88, 3.07
74.00, 3.06
74.12, 3.06
74.23, 3.06
74.35, 3.06
74.47, 3.06
74.58, 3.06
74.70, 3.06
74.82, 3.07
74.93, 3.06
75.05, 3.05
75.17, 3.07
75.28, 3.06
75.40, 3.05
75.52, 3.07
75.63, 3.06
75.75, 3.05
75.87, 3.06
75.98, 3.05
76.10, 3.04
76.21, 3.04
76.33, 3.03
76.45, 3.02
76.57, 3.01
76.68, 2.98
76.80, 2.98
76.92, 2.96
77.03, 2.95
77.15, 2.93
77.26, 2.92
77.38, 2.90
77.50, 2.89
77.61, 2.88
77.73, 2.87
77.85, 2.86
77.96, 2.86
78.08, 2.86
78.20, 2.86
78.31, 2.85
78.43, 2.85
78.55, 2.83
78.66, 2.83
78.78, 2.83
78.90, 2.82
79.01, 2.81
79.13, 2.81
79.25, 2.81
79.36, 2.79
79.48, 2.80
79.60, 2.79
79.71, 2.78
79.83, 2.79
79.94, 2.77
80.06, 2.77
80.18, 2.77
80.29, 2.75
80.41, 2.76
80.53, 2.75
80.65, 2.75
80.76, 2.74
80.88, 2.74
80.99, 2.74
81.11, 2.74
81.23, 2.74
81.34, 2.74
81.46, 2.74
81.58, 2.74
81.69, 2.74
81.81, 2.74
81.93, 2.74
82.04, 2.75
82.16, 2.74
82.28, 2.74
82.39, 2.75
82.51, 2.74
82.63, 2.74
82.76, 2.75
82.88, 2.74
82.99, 2.73
83.11, 2.74
83.23, 2.73
83.34, 2.73
83.46, 2.74
83.58, 2.73
83.69, 2.73
83.81, 2.73
83.92, 2.72
84.04, 2.73
84.16, 2.73
84.27, 2.73
84.39, 2.72
84.51, 2.73
84.62, 2.73
84.74, 2.72
84.86, 2.73
84.97, 2.73
85.09, 2.73
85.21, 2.73
85.32, 2.73
85.44, 2.73
85.56, 2.72
85.67, 2.73
85.79, 2.72
85.91, 2.73
86.02, 2.73
86.14, 2.72
86.26, 2.73
86.37, 2.73
86.49, 2.72
86.60, 2.73
86.72, 2.72
86.84, 2.72
86.96, 2.72
87.07, 2.73
87.19, 2.72
87.31, 2.73
87.42, 2.71
87.54, 2.73
87.66, 2.72
87.77, 2.72
87.89, 2.71
88.00, 2.73
88.12, 2.71
88.24, 2.72
88.35, 2.71
88.47, 2.72
88.59, 2.72
88.70, 2.71
88.82, 2.71
88.94, 2.72
89.05, 2.71
89.17, 2.71
89.29, 2.71
89.40, 2.71
89.52, 2.72
89.64, 2.71
89.75, 2.71
89.87, 2.72
89.98, 2.71
90.10, 2.71
90.22, 2.72
90.34, 2.72
90.45, 2.70
90.57, 2.71
90.68, 2.71
90.80, 2.71
90.92, 2.71
91.04, 2.70
91.15, 2.71
91.27, 2.70
91.38, 2.71
91.50, 2.70
91.62, 2.71
91.73, 2.70
91.85, 2.70
91.97, 2.70
92.08, 2.70
92.20, 2.70
92.32, 2.70
92.43, 2.70
92.55, 2.70
92.67, 2.70
92.78, 2.71
92.90, 2.70
93.02, 2.70
93.13, 2.70
93.25, 2.70
93.38, 2.71
93.50, 2.70
93.62, 2.69
93.73, 2.70
93.85, 2.70
93.97, 2.69
94.08, 2.70
94.20, 2.69
94.32, 2.69
94.43, 2.70
94.55, 2.69
94.66, 2.69
94.78, 2.70
94.90, 2.69
95.01, 2.69
95.13, 2.69
95.25, 2.69
95.36, 2.68
95.48, 2.69
95.60, 2.69
95.71, 2.69
95.83, 2.69
95.95, 2.68
96.06, 2.68
96.18, 2.68
96.30, 2.69
96.41, 2.68
96.53, 2.69
96.65, 2.68
96.76, 2.68
96.88, 2.69
97.00, 2.68
97.11, 2.68
97.23, 2.69
97.35, 2.68
97.46, 2.68
97.58, 2.69
97.70, 2.68
97.81, 2.67
97.93, 2.68
98.04, 2.68
98.16, 2.68
98.28, 2.68
98.40, 2.67
98.51, 2.69
98.63, 2.67
98.74, 2.68
98.86, 2.67
98.98, 2.68
99.09, 2.67
99.21, 2.68
99.33, 2.67
99.44, 2.67
99.56, 2.67
99.68, 2.67
99.79, 2.67
99.91, 2.67
100.03, 2.68
100.14, 2.67
100.26, 2.68
100.38, 2.67
100.49, 2.67
100.61, 2.67
100.73, 2.67
100.84, 2.67
100.96, 2.68
101.08, 2.67
101.19, 2.67
101.31, 2.68
101.43, 2.68
101.54, 2.66
101.66, 2.67
101.78, 2.67
101.89, 2.67
102.01, 2.67
102.12, 2.66
102.24, 2.67
102.36, 2.66
102.47, 2.66
102.59, 2.66
102.71, 2.66
102.82, 2.66
102.94, 2.66
103.06, 2.66
103.22, 2.66
103.34, 2.66
103.45, 2.66
103.57, 2.66
103.69, 2.66
103.81, 2.67
103.92, 2.66
104.04, 2.66
104.16, 2.66
104.27, 2.65
104.39, 2.66
104.50, 2.66
104.62, 2.65
104.74, 2.67
104.86, 2.67
104.97, 2.66
105.09, 2.66
105.20, 2.66
105.32, 2.65
105.44, 2.65
105.55, 2.65
105.67, 2.66
105.79, 2.65
105.90, 2.65
106.02, 2.65
106.14, 2.64
106.25, 2.65
106.37, 2.65
106.49, 2.65
106.60, 2.65
106.72, 2.65
106.84, 2.65
106.95, 2.65
107.07, 2.65
107.19, 2.65
107.30, 2.65
107.42, 2.64
107.54, 2.66
107.65, 2.65
107.77, 2.64
107.88, 2.66
108.00, 2.64
108.12, 2.65
108.23, 2.66
108.35, 2.65
108.47, 2.65
108.59, 2.65
108.70, 2.65
108.82, 2.64
108.93, 2.65
109.05, 2.63
109.17, 2.64
109.28, 2.64
109.40, 2.64
109.52, 2.64
109.63, 2.63
109.75, 2.63
109.87, 2.63
109.98, 2.64
110.10, 2.64
110.22, 2.63
110.33, 2.64
110.45, 2.64
110.57, 2.64
110.68, 2.64
110.80, 2.63
110.91, 2.64
111.03, 2.64
111.15, 2.63
111.27, 2.64
111.38, 2.64
111.50, 2.63
111.62, 2.64
111.73, 2.63
111.85, 2.63
111.96, 2.64
112.08, 2.63
112.20, 2.63
112.31, 2.63
112.43, 2.63
112.55, 2.62
112.66, 2.63
112.78, 2.62
112.90, 2.63
113.01, 2.63
113.13, 2.62
113.26, 2.62
113.38, 2.61
113.50, 2.61
113.61, 2.61
113.73, 2.60
113.85, 2.59
113.96, 2.59
114.08, 2.58
114.20, 2.58
114.31, 2.58
114.43, 2.57
114.54, 2.58
114.66, 2.57
114.78, 2.58
114.89, 2.57
115.01, 2.57
115.13, 2.57
115.24, 2.57
115.36, 2.56
115.48, 2.57
115.59, 2.56
115.71, 2.56
115.83, 2.57
115.94, 2.56
116.06, 2.55
116.18, 2.56
116.29, 2.56
116.41, 2.55
116.53, 2.55
116.64, 2.55
116.76, 2.55
116.88, 2.54
116.99, 2.55
117.11, 2.54
117.23, 2.55
117.34, 2.54
117.46, 2.54
117.58, 2.55
117.69, 2.54
117.81, 2.54
117.93, 2.55
118.04, 2.54
118.16, 2.55
118.28, 2.55
118.39, 2.55
118.51, 2.54
118.63, 2.55
118.74, 2.55
118.86, 2.54
118.97, 2.55
119.09, 2.54
119.21, 2.54
119.32, 2.55
119.44, 2.55
119.56, 2.54
119.67, 2.55
119.79, 2.55
119.91, 2.54
120.02, 2.55
120.14, 2.54
120.26, 2.54
120.37, 2.54
120.49, 2.54
120.61, 2.54
120.72, 2.53
120.84, 2.53
120.96, 2.54
121.07, 2.53
121.19, 2.54
121.31, 2.54
121.42, 2.54
121.54, 2.53
121.66, 2.54
121.77, 2.54
121.89, 2.53
122.01, 2.54
122.12, 2.53
122.24, 2.54
122.36, 2.54
122.47, 2.53
122.59, 2.54
122.70, 2.53
122.82, 2.53
122.94, 2.54
123.05, 2.54
123.17, 2.53
123.29, 2.54
123.40, 2.53
123.52, 2.53
123.64, 2.54
123.75, 2.52
123.87, 2.53
123.99, 2.53
124.10, 2.53
124.22, 2.53
124.34, 2.54
124.45, 2.53
124.57, 2.53
124.69, 2.52
124.80, 2.53
124.92, 2.53
125.04, 2.53
125.15, 2.53
125.27, 2.53
125.39, 2.53
125.50, 2.53
125.62, 2.53
125.73, 2.53
125.85, 2.53
125.97, 2.54
126.10, 2.53
126.22, 2.53
126.33, 2.54
126.45, 2.53
126.57, 2.53
126.68, 2.53
126.80, 2.54
126.92, 2.53
127.03, 2.53
127.15, 2.53
127.27, 2.52
127.38, 2.53
127.50, 2.52
127.62, 2.52
127.73, 2.52
127.85, 2.53
127.97, 2.52
128.08, 2.53
128.20, 2.52
128.32, 2.53
128.43, 2.52
128.55, 2.52
128.66, 2.52
128.78, 2.52
128.90, 2.52
129.02, 2.53
129.13, 2.52
129.25, 2.53
129.37, 2.52
129.48, 2.52
129.60, 2.53
129.71, 2.52
129.83, 2.53
129.95, 2.53
130.06, 2.51
130.18, 2.52
130.30, 2.53
130.41, 2.52
130.53, 2.52
130.65, 2.53
130.76, 2.52
130.88, 2.52
131.00, 2.52
131.11, 2.51
131.23, 2.52
131.35, 2.51
131.46, 2.52
131.58, 2.52
131.70, 2.52
131.81, 2.52
131.93, 2.52
132.05, 2.51
132.16, 2.51
132.28, 2.52
132.40, 2.52
132.51, 2.52
132.63, 2.52
132.75, 2.52
132.86, 2.52
132.98, 2.52
133.09, 2.52
133.21, 2.52
133.33, 2.52
133.45, 2.52
133.56, 2.51
133.68, 2.52
133.80, 2.52
133.91, 2.51
134.03, 2.52
134.14, 2.52
134.26, 2.51
134.38, 2.51
134.49, 2.52
134.61, 2.51
134.73, 2.52
134.84, 2.51
134.96, 2.51
135.08, 2.51
135.19, 2.52
135.31, 2.51
135.43, 2.51
135.54, 2.51
135.66, 2.51
135.77, 2.51
135.89, 2.51
136.01, 2.51
136.12, 2.51
136.24, 2.52
136.36, 2.51
136.47, 2.51
136.59, 2.52
136.71, 2.51
136.82, 2.52
136.94, 2.52
137.06, 2.51
137.17, 2.52
137.29, 2.51
137.41, 2.51
137.52, 2.51
137.64, 2.52
137.76, 2.51
137.87, 2.52
137.99, 2.52
138.11, 2.51
138.22, 2.52
138.34, 2.51
138.46, 2.52
138.57, 2.50
138.69, 2.51
138.81, 2.50
138.92, 2.51
139.04, 2.50
139.15, 2.51
139.27, 2.50
139.39, 2.50
139.51, 2.50
139.62, 2.51
139.74, 2.50
139.85, 2.51
139.97, 2.51
140.09, 2.51
140.20, 2.51
140.32, 2.50
140.44, 2.51
140.55, 2.51
140.67, 2.50
140.79, 2.52
140.90, 2.51
141.02, 2.50
141.14, 2.51
141.25, 2.51
141.37, 2.51
141.49, 2.51
141.60, 2.51
141.72, 2.49
141.84, 2.51
141.95, 2.50
142.07, 2.51
142.19, 2.50
142.30, 2.50
142.42, 2.50
142.54, 2.51
142.65, 2.50
142.77, 2.51
142.89, 2.50
143.00, 2.50
143.12, 2.50
143.24, 2.50
143.35, 2.51
143.47, 2.50
143.58, 2.50
143.70, 2.50
